Yab,T,X
[-17.06724148],[1],"[-0.84093629 -0.52241559  0.04392108 -1.29237766 -0.68312782  0.40029562
 -1.67633676 -0.11876628 -0.66540061 -0.65235961]"
[58.9250613],[1],"[ 0.61916458 -0.27217231  0.61951392  1.5637332   2.93133904  0.33065397
  1.25210439  0.59872726  0.80408634  0.80680036]"
[1.27792555],[0],"[-1.58850445  0.95066245 -0.5169415  -0.48951989  0.22901013  0.55142647
  0.5215569   0.6856056  -0.40660382 -0.22438703]"
[-26.75438317],[1],"[-1.17063228 -1.27858263  0.00201685 -0.68895616 -1.44052916 -0.6437967
 -1.60073864 -0.6921767   0.53625174 -0.16629305]"
[41.11190187],[0],"[0.06168502 0.59632189 1.00783961 0.11300676 1.58214101 0.3594422
 0.4821151  0.69107424 0.7539958  0.6080096 ]"
[70.72242147],[0],"[2.13287731 1.31459227 2.91374688 1.37385337 1.0351507  1.53252627
 1.03218876 1.6326507  1.47838351 1.10764602]"
[2.92319739],[1],"[-0.87021163 -0.32124917 -0.78268478 -1.22890431 -0.27569918  0.1496436
  0.79626201  0.14921857 -0.18091003  0.24355944]"
[-0.10581366],[1],"[-0.94048091  0.8293051   0.31509188 -1.09991747 -0.86617071 -0.76009532
  0.52789629  0.56456601  0.40247751 -0.34135863]"
[4.32225794],[1],"[-0.08041453 -0.50321635 -0.79155618 -0.00307877  0.78388108 -0.32642601
  0.88470848 -0.18007779  0.61073817 -0.11157507]"
[57.49787955],[0],"[1.39604831 1.29814205 1.53596975 0.96482022 2.16945764 1.15572336
 0.60176134 1.50728379 1.5412183  0.68618581]"
[4.1230652],[1],"[-0.81617235 -0.13515176  0.14968048  0.20439129  0.93840618  0.7075501
 -0.87792349 -0.74485971  0.31311366 -0.09918735]"
[-45.53488404],[1],"[-0.86208048 -1.06142974 -0.97873886 -0.8063946  -1.55263952 -0.07188684
 -1.20324551 -0.64874076 -0.3709392  -0.98268459]"
[2.84197235],[1],"[-0.21448613  0.27845613  0.15549306  0.47061392  0.0992789  -0.3113277
 -1.11071718  0.17345509  0.63104666  0.32320501]"
[19.30438516],[1],"[ 0.43773766  0.63579239 -0.58870283  1.05360461  0.8753943   0.12850569
  1.83493171  0.21623502  0.69639374  0.34365793]"
[-43.8492054],[0],"[ 0.2019015  -1.95081422 -1.64589077 -1.49789489 -1.10539121 -0.65471063
 -0.56181206 -1.23815277 -1.39221088 -0.63459523]"
[-6.78639954],[0],"[-0.57150047 -0.91783491  0.3781559  -0.33719011  0.21253863 -1.35348564
 -0.24601278 -0.27530781 -0.18830655 -0.64516424]"
[-33.77248211],[0],"[ 0.12886697 -1.17307969  0.36535133  0.80149007 -1.35646147 -0.27533467
 -1.5105154  -0.3761772  -0.42650135 -0.91739013]"
[20.14696423],[1],"[ 2.47664844  0.39376849  1.00646872  1.61210594 -0.41853428  0.87229939
  0.16819955  0.73984512  0.81086787  0.43572214]"
[15.52208732],[1],"[ 0.77841313 -0.81137821  0.87423834  1.32011115  0.05375086  0.08742698
  0.91478302 -0.00446635  0.67030084 -0.10578622]"
[-1.09443316],[1],"[ 0.68826504 -0.39069564  0.80503845  1.49201578 -1.30501606  0.52260953
  0.34508527 -0.07845627 -0.32385402  0.19554617]"
[21.45329061],[1],"[ 1.18889147 -1.29927818  1.15914692 -0.11996783 -0.59666823  0.0586533
  1.42370808  0.3920778   1.60760325  0.1990489 ]"
[-5.5978639],[0],"[ 1.29628803 -0.4852803  -0.19623853  0.85733928 -0.48456733 -0.20105392
 -0.36619103  0.01106585  0.16897522  0.20349419]"
[-33.08757939],[1],"[ 0.07419311  0.17546049 -0.41450725 -0.02252838 -1.07299874 -0.29053099
 -1.74749845 -0.28529823  0.65496447 -0.84321004]"
[-82.17737794],[1],"[-2.16050174 -1.75389816 -2.32887017 -0.79269359 -1.84086998 -1.67887293
 -2.24164646 -1.05936441 -1.45004776 -1.79510891]"
[-30.98616252],[0],"[-0.59489743 -1.17355683 -0.36570159 -0.86858493 -0.94285957 -2.14834566
 -0.94349198 -0.31497019 -0.99588982 -0.6192562 ]"
[50.42779983],[1],"[ 1.61558733 -1.11473735  1.71035298 -0.03255063  0.50702618  0.94785393
  1.2350666   0.84672554  0.26904858  0.68405893]"
[8.37259499],[1],"[ 0.2732322   0.30153706 -0.48160008 -0.20180164  0.03957165  0.35667579
  1.74369198 -0.18096486  0.46619761  0.1261743 ]"
[-38.08212558],[0],"[-1.74066069  0.20531916 -0.11523262 -1.62487225 -1.35632051 -0.85001506
 -0.50133729 -1.42235053 -0.34696243 -0.95397648]"
[25.58873619],[1],"[ 0.50310624  1.11160396  0.69192426  1.05755354 -0.28495469  0.79996648
  1.10645337  0.70522699  0.87501025  0.72253655]"
[33.64731609],[1],"[ 1.08549451 -0.14173535  0.07832802  1.8108994   2.16896223 -1.16663023
  1.26424335  0.47774675  0.73066181  0.18603965]"
[-32.44156621],[0],"[-0.44517313 -1.36572393 -0.03170336 -0.44713564 -1.52871776  0.24754823
 -0.58153623 -1.81313355 -0.31608196 -0.24245831]"
[-27.65016594],[1],"[ 0.3769642  -0.43646307 -0.52740981 -0.47045803 -1.18745575 -1.01226207
 -1.25799194 -0.6563609  -0.2357207  -0.37879191]"
[59.48793816],[0],"[2.00817347 2.01892373 1.40504247 0.29604649 0.88892788 1.8680678
 2.25357397 1.4203219  1.70324189 0.92152671]"
[58.51849216],[0],"[ 1.36104964  0.66408719  2.18334361 -0.33402924  1.4364075   1.06468834
  0.70605823  0.60563443  1.2312329   0.87892048]"
[-5.31881346],[0],"[-0.3209397   0.00435716  0.49490559 -1.41263565 -0.30290133 -1.01949174
 -0.82799726  0.11214631 -0.63821405 -0.46357604]"
[-0.26452766],[0],"[-1.12878713 -0.92576395  0.97021592  1.41990551 -0.29820844  0.54686106
 -0.55601471  0.11529788 -0.24414125 -0.12840905]"
[-7.31408809],[1],"[-0.64714194 -0.39949491 -1.16434469  1.42654988  0.56097542  0.73957918
 -1.10339099  0.61433849  0.0402194   0.03153641]"
[5.18939855],[0],"[-0.57487255 -0.11295213  0.61343623  0.18084881  0.57574707  0.98587559
 -0.31844492 -0.35062034  0.62827351 -0.24462416]"
[16.67345262],[1],"[ 0.46662499  1.02062713  0.67828754 -0.07526686  0.54974693  0.074736
 -0.09768761 -0.02941099 -1.15774122  0.03020631]"
[18.6785998],[1],"[ 0.61041943  0.28110826  0.18203051 -1.19410325  0.65326657 -0.26405365
  0.50169704  0.31248018 -1.20818178 -0.24598497]"
[-18.80179596],[0],"[-0.52950382 -1.46139669  0.06668993  0.73298817 -0.5977589   0.00863602
 -0.08133087 -0.97343183 -0.98069845 -0.27664114]"
[-7.12458016],[1],"[-0.71790488 -0.18776369  0.09999083 -1.14844264 -0.09099114 -0.26284818
 -0.44766794 -0.10733693 -1.2552344  -0.74455426]"
[-0.8308004],[1],"[ 0.76500344 -0.01010177 -0.31985002 -0.46921413  0.30148253 -0.3509227
  0.23910633 -0.35793161 -1.04208051 -0.49766589]"
[-23.38594491],[0],"[-0.38916224 -0.38472367  0.05728063  0.36127966 -1.93635025  0.04587556
  0.27747216 -0.17096593 -0.33203086 -0.30905294]"
[32.1375256],[0],"[1.3336165  0.71021661 0.44686336 1.14832199 1.0814228  0.17686802
 0.82850785 0.86212078 0.72185925 0.62950046]"
[-66.07563691],[0],"[-1.93903244 -1.34670538 -2.51934257 -1.59024502 -0.92840295 -0.45831753
 -1.12887494 -1.11729366 -1.15068377 -1.53605415]"
[21.38155264],[1],"[-0.91106189  0.97787665  0.09697703  1.00020094  0.84573943  0.43305703
 -0.14156414 -0.10613904  0.10189043  0.84781582]"
[-8.31208942],[0],"[ 0.14048046  0.67540974  0.24534536  0.34341704 -0.85996674 -0.65745669
 -0.34546357  0.31892231  0.18238686 -0.02912189]"
[-13.03239431],[1],"[-1.01087569 -0.43016925  0.30997816 -0.51151515 -0.5593732   0.3756148
 -1.07242415  0.02700688  0.21712814 -0.844432  ]"
[-58.09174556],[0],"[-1.40095258 -1.30495792 -1.52133099 -1.67881987 -1.58550161 -0.68049334
 -0.95355542 -0.91583402 -1.51919394 -1.45003274]"
[-40.99295128],[1],"[-1.24299847  0.31728539 -1.55807987 -1.08402112 -0.76154757 -0.00461992
 -1.58587875 -1.19336428 -0.11797641 -0.57774035]"
[19.86168699],[1],"[-0.33431859  0.81683081  0.23805426  1.54068908  0.22735761  0.56275198
  0.82008118  0.2068553   0.54143774  0.82794734]"
[2.75172052],[1],"[ 1.05894309 -0.50217722  0.00638258 -0.37435647  0.58980033 -0.81821287
 -1.36916629  0.44036735 -0.22447063 -0.3106407 ]"
[22.9928368],[0],"[ 1.4237657  -0.04392916  0.06732804 -0.52155941  0.59005421  0.37706248
 -0.00572825  1.20135702  0.86238579  0.50519415]"
[42.15965008],[1],"[0.31774976 0.70948438 0.77634949 0.64695205 1.03477465 0.47651458
 0.83122469 0.70093776 0.9349563  0.95953782]"
[-50.26083359],[0],"[-1.91943001 -1.16584142 -0.89485264 -0.70855168 -1.16129264 -0.82254194
 -1.45030313 -0.35722269 -0.39963202 -1.29765631]"
[5.903044],[1],"[-0.04904592  0.69865789 -0.39456335  1.53396902  0.63405932  0.87995027
 -0.38289159  0.15578117  0.43906067  0.17032283]"
[23.37808032],[1],"[ 1.02232598  0.58172069  0.78527018 -0.54841028  1.01367781  0.20201272
  0.24061777 -0.78331769  0.88089665  0.18563486]"
[-8.48870191],[0],"[ 0.26621995 -1.0483172   0.96646039 -1.06380717 -0.77239655 -0.04080634
 -1.53909795 -0.73376456 -1.44965551 -0.16519809]"
[25.18146156],[0],"[ 0.40946308  0.06734369  0.70212508  0.31889062  1.09078529 -0.05449834
  0.4339199   0.41144629 -0.12950869  0.2494302 ]"
[97.18797969],[1],"[2.79234691 2.70019617 2.03802954 1.50847761 3.24181245 1.84188344
 1.08653297 1.35782763 1.54665134 1.80129989]"
[-30.87845336],[0],"[-0.67991126 -0.67060271 -1.05977667 -0.68769533 -0.29884613 -0.49374693
 -1.13032666 -0.83941757 -0.32288099 -0.42438293]"
[14.36806505],[0],"[ 0.20086704  1.19410261  0.79241729  0.67034989  0.6426022   0.61545981
  0.02690191 -0.27545472 -0.16773368  0.19202982]"
[-41.10041055],[0],"[-0.43870471  0.55161488 -1.00192199 -1.31659458 -1.38936732 -1.53536408
 -0.89563281 -1.04609185 -0.54654488 -0.56990049]"
[52.14468226],[0],"[0.77556901 0.07546714 1.35827202 2.15945286 1.22408379 0.04843715
 0.82656771 1.54751933 0.44412106 1.22794178]"
[-9.80029136],[1],"[-0.94778188 -0.06983655 -0.55150216 -1.34461866 -0.26234424 -1.01006127
  0.50921999 -0.08020039 -0.87919577 -0.64966965]"
[-33.48005655],[1],"[-1.45212139 -1.67111227 -0.75273436 -0.77143949 -0.99193664 -0.49623537
 -0.54845519 -0.55096181 -2.30336361 -1.13981483]"
[26.10620103],[0],"[ 0.25527403  0.17345624  0.75666809  1.4788781   1.28740572  0.07425317
 -0.09965984  0.70734847  1.70013927  0.44008219]"
[55.11645327],[0],"[0.88434204 2.22231528 1.8030598  4.15110786 0.6544573  1.59453399
 1.00315442 1.08255526 1.95799747 2.00152141]"
[-9.5272895],[1],"[-1.12383708 -1.10533121  0.17359655 -1.49592983 -0.07471949  0.04161816
 -0.64169981 -0.7548297  -0.17575751 -0.53867406]"
[4.5458624],[0],"[-0.34098799 -0.44156203  0.19252495 -0.0738945   0.18438901  1.53702518
  0.25883613 -0.08761935  0.5460062  -0.13470538]"
[45.48074291],[1],"[0.59766982 1.87825977 2.15428602 1.73198378 0.08584004 1.23704064
 0.7615001  0.6309842  1.32074785 0.88763211]"
[-18.63087939],[1],"[-0.97210855 -0.23335554 -0.68658304  0.07325556 -0.0278981  -1.60140508
 -0.6484211  -0.50198814 -0.08603999 -0.4838543 ]"
[-18.18688647],[1],"[ 0.62850939 -0.92644317 -0.15055473  0.43566117 -1.72280678 -0.21858291
 -0.25030224  0.20009368 -1.02086725 -0.35021369]"
[-55.09182932],[1],"[-0.72882868 -1.09932897 -1.66460763  0.49446873 -2.03268439 -0.84897569
 -0.15224982 -1.26017596 -0.19784451 -0.66137375]"
[13.34086983],[0],"[ 0.15982166 -0.34761536  0.27310029 -0.25791615  0.62508226  0.55303443
 -0.65942343 -0.03191439  1.36214517  0.67491449]"
[-7.574189],[1],"[-1.07782352  0.23153654 -0.99960199 -1.48186892 -0.43451759 -0.13973036
 -0.30943296  0.63907272 -0.32578362 -0.24023921]"
[-35.12337297],[1],"[-0.48968752 -1.59162075 -2.15958594 -1.14672973 -1.20586705 -0.48974252
  1.23772524 -0.62154359 -0.07388522 -0.64162926]"
[-26.2601668],[0],"[ 0.18021315 -1.64615202 -0.34566156  0.23602583 -0.74941386 -0.01566546
  0.24283162 -0.23967791 -0.36326314 -1.03164415]"
[-11.1476798],[0],"[-2.4045423  -0.63870885 -0.20393815 -1.9464975  -0.07877307  0.03470995
  0.66890328 -0.49358411 -1.36720621 -0.81265165]"
[-16.37193352],[0],"[-0.09746733 -1.20356609 -0.88680277 -0.08345556  0.43431111  0.51697226
 -1.54575751 -0.21749783 -0.21282946 -0.22977866]"
[15.75579485],[0],"[ 0.53311042  0.2411734   0.14949773  1.18502213  1.05158029  0.49134076
 -0.11588128  0.64833978  0.60090379  0.11489684]"
[26.03031247],[0],"[ 0.21512925  0.23732436  0.0889381   0.28376207  1.47966202  1.23262397
  0.36730138 -0.12159679  0.30684557  0.63235535]"
[-6.11500866],[1],"[-1.65769845 -0.06014921  0.00264797 -0.23318203  0.2871415  -0.10494989
 -1.42559214 -0.33920669  0.13311321 -0.13764834]"
[0.07608908],[1],"[-0.4024955   0.7075644   0.46040166 -1.2983553  -0.57890745  0.39284394
  0.30400091 -0.60215318 -0.06556047 -0.39767789]"
[-35.99690688],[0],"[-0.97130345 -0.46582539 -0.61416752 -0.60075575 -1.54143666 -0.40653673
 -0.13378336 -0.77895145 -0.18006807 -0.68158843]"
[26.12765274],[1],"[ 0.13856597 -0.54522539  1.29990321  0.13949161  0.55993276  0.47634155
  0.86067573 -0.57553038  0.73066724  0.19991203]"
[13.66990169],[0],"[ 0.59579959  0.89550216  1.45212482  0.01916554 -0.83885867  0.33861536
  0.29672294  0.23737123  0.78642489  0.30777683]"
[3.657718],[0],"[-0.08866658  0.22378518 -1.18568821  2.12715817  1.34788118  0.62988744
 -0.04657207  0.07742694 -0.07336319  0.35891294]"
[3.42568656],[0],"[ 0.97142026  1.51182177  0.15337398  1.93530974  0.10208952 -0.00253629
  0.46263439 -0.43400515  0.95354292  0.41234555]"
[10.18360041],[1],"[-0.65776998  0.29567836 -0.3087616  -0.47975281 -0.48337831  0.02376748
  1.34161452  0.54072365  0.65225323  0.29696092]"
[24.62373676],[0],"[ 2.63220323  1.71660618 -0.81723865 -1.06043436 -0.18265658  1.204694
  1.7204113   1.25464771  0.90184314  0.83098639]"
[13.84202708],[0],"[ 1.05956346  0.3302285  -0.08477094 -0.03909535  1.07367702  0.24193043
 -0.13885102 -0.17778187  0.64641681  0.33818279]"
[9.52152077],[1],"[-0.53238917  0.28833488  0.52422727  0.92682645  0.82447814 -0.12267559
 -1.20950336 -0.05736091  1.43450081  0.2543937 ]"
[-2.42271727],[1],"[ 0.07618161  0.05243669 -0.1298442  -0.3696411  -1.07152117  0.32449933
  0.45649661  0.0216193  -0.68004286  0.06807424]"
[6.23186285],[1],"[ 0.26730947 -0.72644706 -0.26680148  0.78454239  0.28309285 -0.34316351
  0.37285756 -0.19497941 -0.42320466  0.27450473]"
[-63.13112151],[1],"[-1.00388251 -0.75651123 -1.25024253 -2.40280165 -2.09329467 -1.25422435
 -2.94418879 -0.78536002 -0.70343502 -1.38781911]"
[5.70144864],[1],"[ 1.39864393  1.14728275 -0.24837472  0.59499669 -0.11089219  0.91925418
  0.35482926 -0.26323756  0.55974685  0.42581301]"
[-13.63994143],[0],"[-0.66278604 -1.39790826 -1.37009957  0.99548842  0.2631296  -0.51513136
  1.00442915  0.56233198  0.71195405 -0.4590071 ]"
[-8.55384377],[0],"[ 0.5355418  -1.39752157 -0.04402602  0.50870319  0.11496037 -0.87697007
 -0.05940924 -1.38981778 -0.75035617 -0.1083482 ]"
[-39.60092868],[0],"[-1.40196038 -0.84413825 -0.8074305  -1.39372723 -1.25163107 -1.64982884
 -0.33672823 -0.63940975  0.03624737 -0.78679045]"
[1.29037439],[1],"[ 1.01120912 -0.6795455  -0.58490466  0.12565466  0.65352014  0.26811134
 -0.45820752  0.07291857  0.72850412 -0.10768938]"
[-15.26662811],[0],"[ 0.63514392 -0.37843796  0.05337384  0.8350856  -1.09915044  0.58393083
 -0.59074676  0.70190519  0.59118702 -0.20415474]"
[-49.89135977],[1],"[-2.24926896 -1.15053063 -1.55671317 -0.56878976 -1.35580202  0.16342576
 -0.68671023 -1.21725153 -1.96996456 -1.00162021]"
[-12.16878551],[0],"[-0.43528331 -0.55719844  0.3892811  -1.8108961  -0.52971534 -0.23873666
 -0.51515862 -0.56772408 -0.75578398 -0.67210511]"
[-0.58626218],[1],"[-1.18432852  0.43230137 -0.04314803 -1.27022165  0.56232664 -0.60927174
  0.4042973  -0.92233667  0.2318077  -0.56564461]"
[18.10493215],[0],"[ 0.72666814  0.03227913 -0.61315442  1.16436362  0.77286858  1.16307017
  0.48253274  0.57349382  0.12702069  0.81767214]"
[25.71727843],[0],"[ 1.18252199 -0.61233591  0.27375294  0.54094494  1.19962917  0.41040661
  0.54963078  0.76202193  0.555572    0.17263799]"
[-29.81382389],[0],"[ 0.46962754  0.62365029  0.24976651  0.41509175 -1.53395579 -0.06137601
 -1.52614692 -0.53587336 -0.04225505 -0.42986366]"
[-40.3348012],[0],"[ 0.49739622 -0.84329083 -1.3741112   0.89095482 -1.36436276 -1.39804726
 -0.21699631 -0.42122466 -0.14125619 -0.53019868]"
[44.47402383],[0],"[1.92197935 0.07585395 1.01137408 1.89301501 1.23320479 1.1019642
 0.48687502 1.16366407 0.8107644  1.03388817]"
[-38.12990995],[1],"[-0.12405036 -1.16729045 -1.22196296 -1.80548082 -0.92087914 -0.87637698
 -0.82427007 -0.97917695 -1.2235669  -0.79858072]"
[17.11240884],[1],"[-0.154343    0.78811742  0.30427641 -0.31328826  0.80924794  1.33516192
  0.01725713 -0.38997754  0.00981689  0.2873177 ]"
[-4.93795856],[0],"[ 0.74372272 -0.1698405  -0.21887626  0.71599955 -0.89450574  0.75004569
  0.41786622  0.65012728  1.20786947  0.05271471]"
[53.00619802],[1],"[2.37045228 0.89554692 0.1105029  1.43551308 0.93196522 1.34131048
 1.39821212 1.84626622 0.75434652 1.31827858]"
[20.1037237],[0],"[ 0.93360572 -0.48773747  0.33980395 -1.36448333  0.48563279 -0.38328538
  0.26637552  0.06200576 -0.47047228  0.50052009]"
[17.53735156],[0],"[ 0.6446667   1.43504408  0.67864902  0.79546399 -0.11193637  0.29077474
  0.36323552  0.58630288  0.18328005  0.52100451]"
[-53.79434111],[1],"[-0.45276067  0.92215482 -1.44506199 -1.71916768 -1.75112358 -1.2018389
 -1.53372033 -1.14526694 -0.1944044  -1.04670349]"
[-23.29542795],[0],"[-0.24736428 -1.74709313 -1.23982725 -0.4729194  -0.12342857 -1.12000844
  0.19527871 -0.67046836 -0.86697707 -0.50258348]"
[-39.24737363],[1],"[-0.74257219 -1.05126563 -0.05656334 -0.64070809 -1.68832436 -2.27839563
 -1.08208318 -1.1439216  -0.49703156 -0.79990249]"
[-32.9597484],[0],"[ 0.26795075 -0.17417673 -0.56877943 -0.04750681 -1.09471767 -0.0879922
 -0.59182873 -0.76607043  0.51999165 -0.56705897]"
[-34.05899638],[1],"[-1.74752978 -0.01587996 -0.40545723 -0.84500084 -1.6899293  -0.44801565
 -0.97112868 -0.38445063  0.30828473 -0.64554529]"
[-8.2708351],[0],"[ 0.12715148  0.55341852 -1.26081264  1.62278296 -0.06369371 -0.16026214
  0.54944778  0.82758435  0.03311887  0.06670058]"
[-62.6925587],[0],"[-1.83527251 -0.97116394 -0.32654956 -2.32558069 -2.31401248 -0.79686329
 -2.49260873 -1.2532383  -1.54085597 -1.39679103]"
[-55.55426396],[1],"[-0.04272493 -0.49447022 -0.97355653 -1.09629715 -0.86600349 -2.12045272
 -1.38032379 -2.21884653 -1.81321948 -1.61483754]"
[18.65827938],[0],"[ 0.62775428 -1.08673303  1.41172156 -1.48546499 -0.14705523  1.0733502
  0.66657946 -0.03149088 -0.07189404 -0.27695135]"
[25.10055978],[0],"[ 0.76903572 -0.24963548  0.6129291   0.81334452  0.36137189 -0.04271978
  0.34771907  1.57934798  0.26171822  0.3828987 ]"
[-15.43398695],[0],"[-0.93684017 -0.04225382  0.35533151 -1.34596432 -1.04802281 -0.65101754
  0.17967108 -0.47077165 -0.17395003 -0.52729802]"
[68.29294362],[1],"[ 1.63978535  1.24854592  1.12825738  0.91134722  1.86139815  1.72588881
  1.92982746  1.40594671 -0.2417136   0.84052804]"
[-8.20754897],[0],"[ 1.04078907 -1.32828399  0.11601543  0.40076762 -0.02371651 -0.94163029
 -0.11071518 -0.44776637  0.13835148 -0.26713513]"
[-7.43611176],[1],"[ 0.42260113  0.89354134  0.46492635 -0.79590746 -1.00948755 -0.57970245
 -0.36449122 -0.92811976 -0.20907386 -0.10360959]"
[52.42233771],[1],"[ 2.01822309  1.41313123  0.82371673 -0.15995124  0.90070954  1.24800559
  0.53777769  1.21008107  1.63868059  1.17896422]"
[-7.40879243],[1],"[-0.44290804 -0.30680133  0.81744556 -1.19079224 -1.30044505 -0.60793822
 -1.44596762 -0.25467956  0.36712876  0.04914816]"
[-39.49272896],[0],"[ 0.20100647 -0.74257786 -1.08507732 -1.89820252 -1.95685664 -1.1014799
  0.03923144 -0.3776085  -0.62863173 -0.66473287]"
[12.99695029],[0],"[ 7.73480865e-01  6.80796834e-01  1.34889084e-03  9.45670289e-01
  1.53215629e+00 -7.19153662e-01 -4.76569604e-02 -5.48684799e-01
  8.09786119e-01  2.40016793e-01]"
[-1.06836371],[1],"[-0.69890556  0.57272962  0.93948591  0.75031904 -0.67135031  0.08530644
 -0.89300851 -0.10708703  0.5046306   0.08591964]"
[13.28348149],[1],"[ 0.85345772  1.27360976  0.10477003 -0.24260399  0.76720548  0.29368105
 -0.81130134 -0.56184972  0.14411564  0.49135563]"
[28.84470786],[1],"[-1.29438772  0.27903857 -0.05888586  0.08109587  1.72246226 -0.06361841
  1.01434896  0.61977499  0.27397898  0.03443724]"
[-19.02983336],[0],"[-0.54460262 -0.03632191 -0.60385415 -0.67411157  0.37599128 -0.68340577
 -1.71312479 -0.93955633 -0.88201579 -0.22200033]"
[14.42975237],[1],"[ 1.5210611   1.0569516  -0.15790806  0.73612892  0.4313568   1.07573043
 -0.08566908  0.32647624  1.07279044  0.37179431]"
[-5.41110596],[0],"[ 0.02874542 -0.31180622 -0.48841379  1.19184613 -0.33348383 -0.44556034
  1.41134708 -0.05126228  0.07370605 -0.08453645]"
[-18.24781449],[1],"[-0.42317211  0.12312062 -0.30433934 -0.10767527 -0.2475872   0.14138809
 -1.1904938  -0.2298167   0.41851138 -0.57098687]"
[13.35367566],[0],"[ 0.83317602  0.34381927 -0.91510354 -0.06166977  0.32771464  0.04787773
  1.09774087  0.41916072  0.43668151  0.78960827]"
[18.02946882],[1],"[ 0.36050347  1.40615904  0.40247762  1.01696797 -0.1122899   1.27220014
  0.35097719  0.54874567  0.60994388  0.67144507]"
[27.43045537],[1],"[-0.89540852 -1.09634299  0.68555552  0.51806802  1.36780945  0.39109043
 -0.18269481  0.11787527  0.74540854  0.35249375]"
[-15.98338044],[1],"[-0.80761118 -0.32974644 -0.60835933 -1.14330362 -0.22476067 -0.63788491
 -0.81297058 -0.30404158  0.14804315 -0.50512785]"
